state,cd,dem_vote_percent,gop_vote_percent
AL,1,34.10%,63.50%
AL,2,33.00%,64.90%
AL,3,32.30%,65.30%
AL,4,17.40%,80.40%
AL,5,31.30%,64.70%
AL,6,26.10%,70.80%
AL,7,69.80%,28.60%
AK,AL,37.60%,52.80%
AZ,1,46.60%,47.70%
AZ,2,49.60%,44.70%
AZ,3,62.40%,32.50%
AZ,4,27.50%,67.70%
AZ,5,36.50%,57.60%
AZ,6,42.40%,52.40%
AZ,7,71.80%,22.60%
AZ,8,37.00%,58.10%
AZ,9,54.70%,38.40%
AR,1,30.20%,65.00%
AR,2,41.70%,52.40%
AR,3,30.50%,61.70%
AR,4,31.30%,64.20%
CA,1,36.50%,56.20%
CA,2,69.00%,23.30%
CA,3,53.00%,40.40%
CA,4,39.30%,54.00%
CA,5,69.20%,24.30%
CA,6,69.20%,24.40%
CA,7,52.30%,40.90%
CA,8,39.60%,54.70%
CA,9,56.60%,38.00%
CA,10,48.50%,45.50%
CA,11,71.50%,22.70%
CA,12,86.20%,8.70%
CA,13,87.40%,6.80%
CA,14,76.90%,18.20%
CA,15,69.90%,24.20%
CA,16,58.00%,36.40%
CA,17,73.90%,20.50%
CA,18,73.40%,20.20%
CA,19,72.90%,21.50%
CA,20,70.40%,23.20%
CA,21,55.20%,39.70%
CA,22,42.60%,52.10%
CA,23,36.10%,58.10%
CA,24,56.70%,36.50%
CA,25,50.30%,43.60%
CA,26,57.90%,36.00%
CA,27,66.00%,28.40%
CA,28,72.10%,22.30%
CA,29,77.70%,16.80%
CA,30,69.10%,25.70%
CA,31,57.70%,36.60%
CA,32,66.60%,27.70%
CA,33,67.80%,26.50%
CA,34,83.60%,10.70%
CA,35,67.70%,26.90%
CA,36,52.20%,43.40%
CA,37,85.70%,9.60%
CA,38,67.00%,27.40%
CA,39,51.50%,42.90%
CA,40,82.20%,12.80%
CA,41,61.00%,33.10%
CA,42,41.40%,53.40%
CA,43,78.40%,16.70%
CA,44,83.00%,12.30%
CA,45,49.80%,44.40%
CA,46,66.30%,27.90%
CA,47,62.60%,31.00%
CA,48,47.90%,46.20%
CA,49,50.70%,43.20%
CA,50,39.60%,54.60%
CA,51,71.80%,22.80%
CA,52,58.10%,35.60%
CA,53,64.50%,29.60%
CO,1,69.00%,23.20%
CO,2,56.20%,34.90%
CO,3,40.00%,52.00%
CO,4,34.30%,57.40%
CO,5,33.20%,57.20%
CO,6,50.20%,41.30%
CO,7,51.40%,39.40%
CT,1,59.40%,36.30%
CT,2,48.70%,45.80%
CT,3,55.90%,40.40%
CT,4,59.60%,36.60%
CT,5,49.90%,45.80%
DE,AL,53.40%,41.90%
FL,1,28.20%,67.50%
FL,2,30.60%,66.20%
FL,3,40.20%,56.20%
FL,4,34.10%,62.10%
FL,5,61.30%,35.90%
FL,6,39.90%,56.90%
FL,7,51.40%,44.10%
FL,8,37.70%,58.40%
FL,9,54.80%,41.90%
FL,10,61.80%,34.90%
FL,11,32.50%,64.80%
FL,12,38.80%,57.40%
FL,13,49.60%,46.40%
FL,14,57.20%,39.00%
FL,15,43.10%,53.10%
FL,16,43.00%,53.70%
FL,17,35.00%,62.20%
FL,18,44.10%,53.30%
FL,19,37.50%,59.60%
FL,20,80.20%,18.10%
FL,21,58.60%,39.10%
FL,22,56.80%,41.00%
FL,23,61.90%,35.80%
FL,24,83.00%,15.30%
